98,FAST MAIL S.R.L.,FAST MAIL,AV. ADER                                                     495        -                      -,1609       BOULOGNE                                 Buenos Aires,011/47666007,
37,FEDERAL EXPRESS CORPORATION,FEDERAL EXPRESS CORPORATION,AV. LUIS PIEDRABUENA                                         3660       -                      -,1439       CAPITAL FEDERAL                          Capital Federal,011/46303440,
771,FENIX POSTAL S.R.L.(EX GUIÃAZU HERMANOS,MAGUIEXPRESS,LAVALLE                                                      420        -                      - 1,2700       PERGAMINO                                Buenos Aires,,
462,G.R.D. ARGENTINA S.R.L.,G.R.D. ARGENTINA S.R.L.,HIPOLITO VIEYTES                                             589        -                      - 1,B1603BVK   VILLA MARTELLI                           Buenos Aires,011/47090191,
853,GLOBAL WIRELESS CONNECTIONS S.A.,GLOBAL WIRELESS CONNECTION S.A.,AIME PAINE                                                   1635       -                      - 3,1107       CAPITAL FEDERAL                          Capital Federal,011/57871800,
945,HEAVYWEIGHT AIR EXPRESS BUENOS AIRES S.A,,AV. RIVADAVIA                                                1245       -                      - 1,C1209CAV   C.A.B.A.                                 Buenos Aires,011/50829400,
836,INTEGRAL PACK EXPRESS S.A.,INTEGRAL PACK EXPRESS S.A.,AV. RAMOS MEJIA                                              1680       -                      - 2,C1104AJQ   CAPITAL FEDERAL                          Capital Federal,011/43130080,
605,INTER-POST S.A.,INTER-POST CORREO,SALCEDO                                                      2855       -                      -,C1259ABE   CAPITAL FEDERAL                          Capital Federal,011/49414101,
942,INTERMEDIO S.R.L.,INTERMEDIO S.R.L.,NECOCHEA                                                     314        -                      - 1Âº,S2300IEH   SANTA FE                                 Santa FÃ©,,
202,INTERNATIONAL MESSENGER EXPRESS S.A.,INTERNATIONAL BONDED COURIER / I.B.C,BARTOLOME MITRE                                              1612       -                      -,C1037ABF   C.A.B.A.                                 Capital Federal,011/08103450422,011/51993096
78,LATIN AMERICA POSTAL S.A.,LA POSTAL,CHACABUCO                                                    1580       -                      - PB,C1140AAH   CAPITAL FEDERAL                          Capital Federal,011/43003100,
482,LHS WORLDWIDE S.A.,L.H.S. WORLDWIDE,TACUARI                                                      469        -                      - PB,C1071AAI   CAPITAL FEDERAL                          Capital Federal,011/43340020,
834,LITORAL LOGISTICA S.A.,LITORAL LOGISTICA S.A.,SAN MARTIN                                                   1824       -                      - 1,S3002IPG   SANTA FE                                 Santa FÃ©,0342/4594884,
841,LOGINPORT S.A.,LOGINPORT,GUEMES                                                       4747       -                      - 2Âº,1425       CABA                                     Capital Federal,,
242,MAIL EXPRESS S.R.L.,MAIL EXPRESS CORREO,25 DE MAYO                                                   821/855    -                      -,M5519AWP   DORREGO                                  Mendoza,0261/4312021,
537,MD CONSULTORES S.A.,MD CORREO,DR. ROMULO S. NAON                                           3401       -                      -,C1430EQO   CAPITAL FEDERAL                          Capital Federal,011/45460070,
388,MINIBUS EZEIZA S.R.L.,MINIBUS EZEIZA S.R.L.,DEFENSA                                                      417        -                      - 2,1065       CAPITAL FEDERAL                          Capital Federal,011/43435292,
846,NEHUEN KELEN S.R.L.,CORREO NAHUEL SIMPLE,GOBERNADOR ELORDI                                            1640       -                      - 6Âº,8400       SAN CARLOS DE BARILOCHE                  Rio Negro,0294/154705353,
760,NET COURIER S.R.L.,NET COURIER,HERRERA                                                      1855       -                      - 7Âº,1295       C.A.B.A.                                 Capital Federal,,
29,NEXO SERVICIOS POSTALES S.R.L.,NEXO SERVICIOS POSTALES S.R.L.,POTOSI                                                       4435       -                      -,C1199ACO   CAPITAL FEDERAL                          Capital Federal,011/49585558,
564,O.M. EXPRESS S.R.L.,O.M. EXPRESS,AV. DEL VALLE                                                3201       -                      -,B7400LDG   BUENOS AIRES                             Buenos Aires,02284/440740,
2,ORGANIZACION COORDINADORA ARGENTINA,OCA,LA RIOJA                                                     301        -                      -,1214       CABA                                     Capital Federal,011/49569622,011/49569812
731,ORGANIZACION COURIER ARGENTINA S.A.,OCASA SOLUCIONES LOGISTICAS,ECHEVERRIA                                                   1262       -                      -,C1428DQL   CAPITAL FEDERAL                          Capital Federal,011/47858585,
122,ORGANIZACION DE TRANSPORTES,OTI CORREO Y LOGISTICA,PTE. LUIS SAENZ PEÃA                                         1667       -                      -,C1135ABI   CAPITAL FEDERAL                          Capital Federal,011/43048149,
947,PAMPA LUGGAGE S.R.L.,,AUT. GRAL. RICCIERI                                          KM 33.5    -                      - 2Âº,1802       BUENOS AIRES                             Buenos Aires,011/43420242,
726,PLANETA POSTAL S.R.L.,PLANETA POSTAL S.R.L.,AV. DR. MARIANO MORENO                                       3378       -                      -,B7282ANA   SALADILLO                                Buenos Aires,02344/450731,
476,POSTAL S.A.,POSTAL,S. B. DEL MONTE ALTO                                         75         -                      - 2,3500       RESISTENCIA                              Chaco,03722/440240,
847,PRO MAIL S.R.L.,PRO MAIL,CONDARCO                                                     4846       -                      - 1,C1419APF   CAPITAL FEDERAL                          Capital Federal,011/45718009,
733,PULQUI PACK S.R.L.,PULQUI PACK S.R.L.,HIPOLITO YRYGOYEN                                            350        -                      - 1Âº,S3560      SANTA FE                                 Santa FÃ©,03482/421536,
317,Q.B. ANDINA S.A.,Q.B. ANDINA S.A.,TRONADOR                                                     873        -                      -,C1427CRQ   CAPITAL FEDERAL                          Capital Federal,011/45510020,
219,RAICO S.A.,RAICO S.A.,EDUARDO COMESAÃA                                             4460       -                      - 2,B1702BOF   CIUDADELA                                Buenos Aires,011/44887771,
807,REAL EXPRESS S.R.L.,REAL EXPRESS,AV. SAN JUAN                                                 3419       -                      - PB,A1233CBD   CAPITAL FEDERAL                          Capital Federal,011/49576888,
43,REDEXPRESS S.A.,REDEXPRESS S.A.,LEANDRO N. ALEM                                              1110       -                      - 9,1001       CAPITAL FEDERAL                          Capital Federal,011/43126555,
854,SAR EXPRESS S.A.,SAREX-PRESSO,PERU                                                         685        -                      - PB,C1068AAC   CAPITAL FEDERAL                          Capital Federal,011/43629001,
547,SEND S.R.L.,SEND CORREO,BRASIL                                                       671 BIS    -                      -,2000       ROSARIO                                  Santa FÃ©,0341/4238126,
44,SERVICIO PRIVADO DE TRANSPORTE S.A.,SEPRIT S.A.,TILCARA                                                      2869       -                      -,C1270ABC   CAPITAL FEDERAL                          Capital Federal,011/43090400,
813,SERVICIOS LOGISTICOS INTEGRADOS S.R.L.,FAST TRACK,TTE. GRAL. JUAN D. PERON                                     1515       -                      - 6,C1035ACC   CAPITAL FEDERAL                          Capital Federal,0/8108883278,
221,SERVICIOS MODERNOS S.R.L.,SERVICIOS MODERNOS S.R.L.,JUJUY                                                        220        -                      -,4000       SAN MIGUEL DE TUCUMAN                    TucumÃ¡n,03814301899,
687,SERVICIOS PRIVADOS POSTALES S.A.,FLASH CORREO PRIVADO MAYORISTA,PIEDRAS                                                      1284       -                      - 1,4000BRZ    SAN MIGUEL DE TUCUMAN                    TucumÃ¡n,0381/4200922,0381/4200922
220,SERVIJUR S.R.L.,SERVIJUR S.R.L.,MEJICO                                                       319        -                      - 9,E3100FVC   PARANA                                   Entre Rios,0343/4233194,
632,SHIPPING S.R.L.,SHIPPING,AV. BELGRANO                                                 634        -                      - 10,1092       CAPITAL FEDERAL                          Capital Federal,011/43313435,011/43313435
516,SOUTH POST S.A.,SOUTH POST,AV. OLIVOS                                                   3764       -                      -,B1667AUP   BUENOS AIRES                             Buenos Aires,011/55550700,011/55550701
661,SPP - SERVICIO PUERTA A PUERTA S.A.,SPP SERVICIO PUERTA A PUERTA S.A.,RIO LIMAY                                                    1900       -                      -,C1278ABN   CAPITAL FEDERAL                          Capital Federal,011/43023244,
463,TNT ARGENTINA S.A.,TNT ARGENTINA,OSVALDO CRUZ                                                 3201       -                      -,C1293ADK   CAPITAL FEDERAL                          Capital Federal,011/43090800,
27,TOSHIN S.A.,TOSHIN S.A.,AV. JUAN DE GARAY                                            2275       -                      -,C1256AAE   CAPITAL FEDERAL                          Capital Federal,011/49414700,
12,TRANS-BAN S.A.,TRANS-BAN S.A.,FRENCH                                                       7640       -                      -,2000       ROSARIO                                  Santa FÃ©,0341/4514866,
948,TRANSGROUP S.R.L.,TRANSGROUP,BUENOS AIRES                                                 486        -                      - 1,N/A        MENDOZA                                  Mendoza,,
180,TRANSLYF -,TRANSLYF S.A.,HIPOLITO YRIGOYEN                                            1138       -                      -,C1086AAT   CAPITAL FEDERAL                          Capital Federal,011/43830459,
827,TRANSPORTES AMBIENTALES S.A.,TA WORLDWIDE EXPRESS,EDUARDO SIVORI                                               4820       -                      - 4,B1605AVD   MUNRO                                    Buenos Aires,011/45096070,
714,TRANSPORTES AUTOMOTORES PLUSMAR S.A.,T.A PLUSMAR S.A.,PEDRO DE MENDOZA                                             3453       -                      - 1,C1294AAA   CAPITAL FEDERAL                          Capital Federal,011/43036000,
